,dose_1000x,dose_100x,dose_10x,dose_1x,,,,,
024/HFO,98.98759725,108.8680089,128.6170296,0,,,,,
148/OLBO,101.0156581,99.81655481,99.84169413,117.9242015,,,,,
Undecane,99.12432045,111.7494407,99.55103418,109.1110649,,,,,
096B/UDAE,100.0585957,114.4742729,119.2190244,0,,,,,
176/VHGO,98.78251245,116.7293065,135.6413118,0,,,,,
070/CGO,99.32940525,103.261745,124.1844653,0,,,,,
031/HFO,97.91659885,118.7337808,128.3505913,0,,,,,
Anthracene,92.47045802,96.52796421,98.26728605,133.7213331,,,,,
189/BITUMEN,93.49588203,109.7449664,99.62369917,115.4022033,,,,,
121/CGO,113.9815749,106.2684564,108.4646061,114.0442043,,,,,
111/petrolatum,98.25840685,109.212528,102.9905103,100.0762142,,,,,
202/Paraffinwax,98.91923565,109.5257271,103.6929385,107.7253516,,,,,
192/BITUMENS,96.61772844,110.0268456,102.8451803,102.2933555,,,,,
153/OLBO,96.61772844,116.4161074,104.58914,106.1456385,,,,,
113/OLBO,98.57742765,112.3758389,105.9939965,109.221922,,,,,
106/CGO,100.7649989,135.9597315,0,0,,,,,
097/HFO,95.06819883,121.5212528,136.8523949,0,,,,,
Hexadecane,100.9928709,110.246085,101.3676589,102.8199266,,,,,
173/OGO,98.30398125,111.4049217,109.6999109,0,,,,,
Biphenyl,97.27855724,105.1409396,100.5441224,108.3073512,,,,,
007/HFO,101.3346789,107.8970917,104.9040217,117.148202,,,,,
102/CGO,96.77723884,111.8747204,114.9075684,0,,,,,
066/OLBO,97.21019564,107.6465324,103.4265002,146.6084667,,,,,
170/SRGO,99.26104365,106.0178971,112.9213921,0,,,,,
012/CGO,98.05332205,109.6196868,127.2848381,0,,,,,
123/kerosine,95.18213484,106.6442953,103.1358403,130.2847641,,,,,
177/VHGO,93.42752043,103.606264,105.7275582,11.0579921,,,,,
058/HFO,93.49588203,108.2102908,114.3262485,0,,,,,
131/HFO,88.80171881,104.5771812,90.92812222,131.7259059,,,,,
046/gasoline,96.61772844,99.65995526,93.22918018,89.15679346,,,,,
109/FO,98.73693805,109.4630872,106.1877698,99.8545001,,,,,
160/FO,96.98232364,104.3892617,104.8798,98.6350724,,,,,
064/UATO,98.34955565,101.6017897,141.9631658,0,,,,,
062/P&H wax,94.86311403,108.6487696,99.13926591,99.68821451,,,,,
072/OLBO,98.19004525,111.2796421,109.2881426,121.2499134,,,,,
086/kerosine,102.6563365,110.2774049,105.02513,105.3142105,,,,,
073/OLBO,103.1804421,116.2281879,117.596173,140.178757,,,,,
138/OLBO,104.2742277,108.8993289,111.6376439,116.0119171,,,,,
183/VHGOa,102.9753573,114.1923937,134.8662186,0,,,,,
018/HFO,107.9657541,110.1521253,123.0460471,0,,,,,
"1,3,5-Trimethylbenzene",101.3802533,99.65995526,104.7829133,111.7993487,,,,,
025/HFO,99.55727726,112.3758389,121.689634,0,,,,,
134/HFO,102.8842085,128.787472,0,0,,,,,
p-Cymene,97.05068524,108.0223714,100.3987924,113.5176332,,,,,
056/gasoline,105.3224389,108.5861298,104.5406967,117.6747731,,,,,
085D/OLBO,95.54673004,107.6152125,97.39530619,119.3930576,,,,,
139/OLBO,93.13128683,110.7158837,105.2189033,119.6147717,,,,,
028/HFO,45.20980501,65.20805369,72.68921011,0,028/HFO,45.20980501,65.20805369,72.68921011,0
078/HFO,82.92262118,87.10067114,91.36411215,0,,,,,
152/slackwax,93.92883883,104.0760626,98.43683769,93.20307628,,,,,
049/kerosine,97.41528045,110.6845638,101.4403239,100.6304995,,,,,
011/kerosine,97.21019564,109.9955257,103.5476085,113.1019192,,,,,
069/TDAE,95.84296364,107.9284116,113.6722636,116.8433451,,,,,
