,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,log_pod
72,up,100,100,100,100,100,100,5.15E-100,8.62E-19,1.45E+63,2
73,down,100,100,100,100,100,100,2.72E-17,35.49536409,4.63061E+19,2
74,down,3.176981387,3.715968981,4.101919491,3.296893938,3.867967968,4.284623921,3.522974643,5.54361878,8.723227468,0.50201467
75,up,12.71509501,22.1396197,32.19857371,14.45783673,25.68642247,38.41272319,11.84382785,51.74565713,226.0766591,1.10431961
76,up,44.75983732,57.46900805,68.20008295,47.41860863,61.48607666,74.02665346,42.28335579,80.9751432,155.0722192,1.650888499
77,up,0.557201628,2.28166797,5.815492014,0.770541081,3.32132239,8.8846691,0.822290929,61.0678428,4535.233566,-0.253987623
78,down,42.09969732,47.91475311,52.0529908,43.39021377,49.55055243,53.98970001,46.57097867,69.49138832,103.6923249,1.624278973
79,up,74.06828585,100,100,100,100,100,1.40E-14,0.032923148,77686903718,1.869632294
80,up,52.01709999,77.45593554,100,56.81549792,87.14416229,100,38.63197807,97.3947445,245.5410448,1.716146136
81,up,0.342061732,1.965162621,7.150152866,0.500672237,3.256646974,13.34983695,0.124903547,41.8481934,14020.98927,-0.465895509
82,down,43.46495683,49.15625035,53.12627858,44.7437232,50.73142465,54.96985125,47.8937546,69.10555089,99.71189778,1.638139253
83,up,100,100,100,100,100,100,1.31E-08,7.01E-05,0.374488056,2
84,up,0.36992276,100,100,0.884513517,100,100,4.74E-05,0.019665902,8.162223988,-0.431888947
85,down,40.26502135,46.10594623,50.24819202,41.56535704,47.74379151,52.18654875,44.79653965,67.52593522,101.788039,1.604927934
86,up,0.369908301,1.877703798,6.200809077,0.528445795,2.993957003,11.0961527,0.145179379,23.14692402,3690.469646,-0.431905923
87,down,42.5629972,48.59668946,52.87275193,43.905343,50.28842939,54.86987877,47.50308635,71.32340305,107.0883644,1.629032202
88,up,0.26172577,100,100,0.614382965,100,100,1.90E-06,0.002183772,2.50605914,-0.582153514
89,up,100,100,100,100,100,100,1.07E-18,2.24E-05,470222223.2,2
90,up,1.506869336,100,100,42.7968636,100,100,2.14E-06,0.000840671,0.330193466,0.178075595
91,up,2.706970016,6.092593746,10.32305361,3.273480663,7.530385921,13.1125551,3.243289678,31.0025574,296.3529814,0.432483445
92,down,43.5572446,49.88414026,54.33579245,44.97060107,51.64809652,56.40719111,49.22164321,74.22778635,111.9378368,1.639060399
93,up,52.47083685,77.15272232,100,57.16263764,86.43429917,100,39.61707271,97.22516295,238.6024929,1.719917991
94,up,16.15144816,100,100,100,100,100,1.74E-11,0.000379154,8279.840222,1.208211468
95,down,36.52602891,42.2598207,46.34953035,37.80005145,43.87412686,48.27184407,40.8494931,63.23905272,97.90030392,1.562602459
96,down,44.65096044,50.68215455,54.92893837,45.99700863,52.36488999,56.90513081,49.69742897,73.24685222,107.9553102,1.649830805
97,down,44.03781446,49.94987188,54.07703877,45.36521428,51.58739184,55.99301566,48.86836031,71.20734832,103.758064,1.643825757
98,down,39.00714931,45.26341774,49.73590868,40.39368912,47.02901261,51.83563891,44.29048242,69.66447794,109.575223,1.591144213
99,up,44.98305474,57.43063095,68.28253382,47.55792413,61.4484232,74.36569651,40.76421865,76.56663327,143.8136072,1.653048944
100,up,43.73690586,79.45744692,100,49.90570049,94.96059531,100,27.61036138,107.9381168,421.9661201,1.640848056
101,up,0.015693177,100,100,0.017961849,100,100,0.003350842,0.007834636,0.018318236,-1.804289132
102,up,100,100,100,100,100,100,5.78E-06,0.000335499,0.01947355,2
103,up,10.63613412,100,100,68.63693774,100,100,1.46E-10,0.000341838,802.0241214,1.026783805
104,up,100,100,100,100,100,100,1.19E-07,9.48E-05,0.075277497,2
105,up,1.054996112,100,100,12.51536385,100,100,1.92E-06,0.000819176,0.350072132,0.023250859
106,up,0.845772474,100,100,3.078217478,100,100,2.24E-07,0.001079883,5.2098989,-0.072746453
107,down,3.185856258,3.515565021,3.743945398,3.260238639,3.606288,3.849805699,3.386589791,4.54099061,6.088896794,0.503226177
108,down,41.42333858,47.25341618,51.38973819,42.7201841,48.88913216,53.32427542,45.93475418,68.69395991,102.7296262,1.617245099
109,up,100,100,100,100,100,100,4.52E-05,0.001067457,0.02519624,2
110,down,41.00061995,47.04209677,51.28589087,42.3536183,48.72315074,53.26388056,45.97514657,69.14450918,103.9901666,1.612790423
111,up,100,100,100,100,100,100,1.70E-16,0.00220036,28541326270,2
112,up,0.89963758,51.59372336,100,1.90682251,100,100,1.40E-06,10.18901224,74031177.28,-0.045932412
113,down,38.15650805,44.00534113,48.14556014,39.4615595,45.64226614,50.08429278,42.71801022,65.27253746,99.73554771,1.581568623
114,up,13.94536068,22.85376033,31.70723901,15.64667309,26.04416999,36.89618713,14.04700608,53.35316682,202.6453462,1.144429751
115,down,40.10085785,46.14631399,50.40156145,41.45356636,47.83101588,52.38746885,45.05898414,68.32456477,103.6030048,1.603153663
116,down,41.01032581,46.97108831,51.18051188,42.34057052,48.63697191,53.14627177,45.796346,68.89800839,103.6531508,1.61289322
117,up,15.26787537,29.42693801,46.78384626,17.73791637,35.26987683,58.81910751,11.80815642,62.71099896,333.0468578,1.183778606
118,down,33.74809229,40.2563794,44.9824471,35.18598268,42.11160152,47.23647055,38.05696135,63.38655904,105.5747943,1.528249228
119,down,43.28545547,49.46885726,53.78456511,44.67445348,51.18111095,55.78817026,48.63765408,72.27294855,107.39373,1.636341992
120,up,47.02964897,59.85681147,71.20764042,49.67253885,64.03486757,77.68541411,41.91458625,77.52663719,143.3958918,1.672371737
121,down,12.44718694,100,100,21.79042345,100,100,0.663146978,211.1719987,67245.44415,1.095071212
122,up,100,100,100,100,100,100,5.37E-06,0.000452837,0.038159978,2
123,up,100,100,100,100,100,100,3.52E-41,4.56E-09,5.89E+23,2
124,down,46.06878231,52.40797706,56.84676815,47.4873894,54.16928145,58.90474326,51.95571325,76.97745689,114.0496107,1.663406733
125,up,100,100,100,100,100,100,8.48E-73,2.80E-14,9.27E+44,2
