,dose_0.1,dose_1,dose_10,dose_100
Histamine_01,106.8614102,108.0744317,103.2801089,100.5074886
Histamine_02,88.68724559,104.5963365,97.82903664,96.28561737
Histamine_03,102.2714036,112.4635993,99.88351776,92.37041351
Histamine_04,99.97497289,96.23759072,96.93834988,94.48569283
