,dose_0.1,dose_1,dose_10,dose_50
SU5402_01,99.58328176,101.4894583,81.79230103,61.57527747
SU5402_02,102.3405699,94.68283582,83.34464043,75.98371777
SU5402_03,96.09784508,93.18578917,87.41991846,62.08503203
SU5402_04,94.9528656,90.3395345,85.492617,56.76149162
