Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
58,Cardio_peak_freq_24hr,58,085B/OLBO,117.2629317,116.9798658,117.8626113,168.2533084,-0.23759301
59,Cardio_peak_freq_24hr,59,050/HFO,94.61245483,98.50111857,67.82065589,0,0.397518369
60,Cardio_peak_freq_24hr,60,115/OLBO,102.9753573,101.2572707,95.53023815,119.5039146,1.770328592
61,Cardio_peak_freq_24hr,61,169/SRGO,99.73957486,111.1230425,133.3402538,0,1.608426011
62,Cardio_peak_freq_24hr,62,179/VHGO,95.95689964,113.5033557,119.9941176,115.6793459,-0.242381695
63,Cardio_peak_freq_24hr,63,Naphthalene,91.01207722,113.2527964,112.8245054,107.0602092,-0.492427327
64,Cardio_peak_freq_24hr,64,145/HRBO,98.28119405,109.5883669,111.3227623,101.1293563,1.027894509
65,Cardio_peak_freq_24hr,65,076/gasoline,97.68872685,113.2214765,114.3020268,99.05078639,-0.195637726
66,Cardio_peak_freq_24hr,66,Propylbenzene,101.0612325,113.5033557,106.9386413,107.97478,-0.622509577
67,Cardio_peak_freq_24hr,67,141/gasoline,91.23994922,102.1029083,93.44717515,96.2793598,2
68,Cardio_peak_freq_24hr,68,036/OLBO,92.06028842,106.1431767,116.8937448,0,1.638208841
69,Cardio_peak_freq_24hr,69,065/P&Hwax,100.6510629,107.8970917,102.3365254,101.7944987,2
70,Cardio_peak_freq_24hr,70,140/OLBO,104.5704613,104.2639821,107.108193,108.5290653,0.440362361
71,Cardio_peak_freq_24hr,71,087/kerosine,98.03053485,95.14988814,101.7794272,106.6444953,2
72,Cardio_peak_freq_24hr,72,150/OLBO,102.7474853,98.46979866,99.45414753,102.0439271,2
73,Cardio_peak_freq_24hr,73,107/P&Hwax,94.97705003,100.6935123,94.12538171,98.08078709,2
74,Cardio_peak_freq_24hr,74,130/CGO,99.94465966,104.2013423,5.377209145,0,0.50201467
75,Cardio_peak_freq_24hr,75,092/OLBO,93.45030763,108.8680089,103.9109335,141.5644703,1.10431961
76,Cardio_peak_freq_24hr,76,120/gasoline,94.77196523,114.442953,98.87282762,135.1624749,1.650888499
77,Cardio_peak_freq_24hr,77,085A/OLBO,119.1314821,113.6286353,113.1151654,151.7910344,-0.253987623
78,Cardio_peak_freq_24hr,78,182 /VHGO,103.5906117,127.033557,135.8350851,0,1.624278973
79,Cardio_peak_freq_24hr,79,124/gasoline,103.7501221,101.2572707,100.2534624,110.7184923,1.869632294
80,Cardio_peak_freq_24hr,80,193/OX ASPH,89.84993001,109.0559284,98.67905432,117.6470588,1.716146136
81,Cardio_peak_freq_24hr,81,075/OLBO,111.0648133,108.49217,117.6930596,135.9939029,-0.465895509
82,Cardio_peak_freq_24hr,82,003/CGO,92.49324522,113.9418345,119.7276793,0,1.638139253
83,Cardio_peak_freq_24hr,83,132/gasoline,98.21283245,105.6420582,107.8106212,101.93307,2
84,Cardio_peak_freq_24hr,84,020/HFO,96.13919724,112.6263982,112.8245054,107.97478,-0.431888947
85,Cardio_peak_freq_24hr,85,178/VHGO,99.21546925,116.541387,127.8903797,0,1.604927934
86,Cardio_peak_freq_24hr,86,174/OGO,100.2636805,114.9753915,117.4750647,137.3519019,-0.431905923
87,Cardio_peak_freq_24hr,87,197/HFO,102.4284645,109.3378076,141.9147224,0,1.629032202
88,Cardio_peak_freq_24hr,88,137/OLBO,102.5424005,109.0246085,111.9525255,109.2773505,-0.582153514
89,Cardio_peak_freq_24hr,89,196/petrolatum,103.5678245,102.9485459,104.3953667,102.8753551,2
90,Cardio_peak_freq_24hr,90,112/OLBO,102.6563365,105.0782998,112.1705205,104.1224971,0.178075595
91,Cardio_peak_freq_24hr,91,114/OLBO,102.1778053,102.2908277,118.3712662,155.9204601,0.432483445
92,Cardio_peak_freq_24hr,92,024/HFO,98.98759725,108.8680089,128.6170296,0,1.639060399
93,Cardio_peak_freq_24hr,93,148/OLBO,101.0156581,99.81655481,99.84169413,117.9242015,1.719917991
94,Cardio_peak_freq_24hr,94,Undecane,99.12432045,111.7494407,99.55103418,109.1110649,1.208211468
