Entity_id,Phenotype,control_id,control_value
112,Cardio_peak_freq_24hr,112,103.1247835
113,Cardio_peak_freq_90min,1,100.7774484
114,Cardio_peak_freq_90min,2,98.58493204
115,Cardio_peak_freq_90min,3,100.7252456
116,Cardio_peak_freq_90min,4,107.5377072
117,Cardio_peak_freq_90min,5,99.96830546
118,Cardio_peak_freq_90min,6,104.4838451
119,Cardio_peak_freq_90min,7,91.45925387
120,Cardio_peak_freq_90min,8,98.50662789
121,Cardio_peak_freq_90min,9,98.6632362
122,Cardio_peak_freq_90min,10,98.35001958
123,Cardio_peak_freq_90min,11,101.6387941
124,Cardio_peak_freq_90min,12,101.0384623
125,Cardio_peak_freq_90min,13,94.98294088
126,Cardio_peak_freq_90min,14,95.50496859
127,Cardio_peak_freq_90min,15,97.04495031
128,Cardio_peak_freq_90min,16,99.08085836
129,Cardio_peak_freq_90min,17,109.1559931
130,Cardio_peak_freq_90min,18,97.09715308
131,Cardio_peak_freq_90min,19,99.02865559
132,Cardio_peak_freq_90min,20,102.1347204
133,Cardio_peak_freq_90min,21,105.6845088
134,Cardio_peak_freq_90min,22,108.138039
135,Cardio_peak_freq_90min,23,100.5425359
136,Cardio_peak_freq_90min,24,101.221172
137,Cardio_peak_freq_90min,25,98.76764174
138,Cardio_peak_freq_90min,26,102.5262412
139,Cardio_peak_freq_90min,27,94.43481179
140,Cardio_peak_freq_90min,28,92.92093145
141,Cardio_peak_freq_90min,29,99.86756466
142,Cardio_peak_freq_90min,30,106.1746562
143,Cardio_peak_freq_90min,31,101.9276699
144,Cardio_peak_freq_90min,32,99.77248288
145,Cardio_peak_freq_90min,33,96.72986587
146,Cardio_peak_freq_90min,34,107.0620861
147,Cardio_peak_freq_90min,35,96.50800838
148,Cardio_peak_freq_90min,36,127.4095874
149,Cardio_peak_freq_90min,37,99.64570717
150,Cardio_peak_freq_90min,38,98.18778652
151,Cardio_peak_freq_90min,39,98.44133794
152,Cardio_peak_freq_90min,40,105.1604505
153,Cardio_peak_freq_90min,41,106.3014319
154,Cardio_peak_freq_90min,42,104.8435112
155,Cardio_peak_freq_90min,43,99.3287679
156,Cardio_peak_freq_90min,44,99.96264644
157,Cardio_peak_freq_90min,45,102.5615485
158,Cardio_peak_freq_90min,46,101.9276699
159,Cardio_peak_freq_90min,47,87.34846341
160,Cardio_peak_freq_90min,48,105.3506141
161,Cardio_peak_freq_90min,49,96.92002943
162,Cardio_peak_freq_90min,50,94.79653631
163,Cardio_peak_freq_90min,51,87.25338163
164,Cardio_peak_freq_90min,52,101.2937914
165,Cardio_peak_freq_90min,53,87.69709661
166,Cardio_peak_freq_90min,54,89.6621201
167,Cardio_peak_freq_90min,55,100.15281
168,Cardio_peak_freq_90min,56,97.71237761
169,Cardio_peak_freq_90min,57,99.63564094
170,Cardio_peak_freq_90min,58,97.94633985
171,Cardio_peak_freq_90min,59,99.63564094
172,Cardio_peak_freq_90min,60,106.1609805
173,Cardio_peak_freq_90min,61,98.01258695
174,Cardio_peak_freq_90min,62,100.6955946
175,Cardio_peak_freq_90min,63,95.66081484
176,Cardio_peak_freq_90min,64,103.5442199
177,Cardio_peak_freq_90min,65,99.73501159
178,Cardio_peak_freq_90min,66,100.1987413
179,Cardio_peak_freq_90min,67,101.0268301
180,Cardio_peak_freq_90min,68,100.1324942
181,Cardio_peak_freq_90min,69,100.960583
182,Cardio_peak_freq_90min,70,111.8582312
183,Cardio_peak_freq_90min,71,96.72076847
184,Cardio_peak_freq_90min,72,97.21762173
185,Cardio_peak_freq_90min,73,96.12454455
186,Cardio_peak_freq_90min,74,98.64193442
187,Cardio_peak_freq_90min,75,100
188,Cardio_peak_freq_90min,76,97.05200397
189,Cardio_peak_freq_90min,77,101.8880424
190,Cardio_peak_freq_90min,78,101.5568069
191,Cardio_peak_freq_90min,79,97.31699238
192,Cardio_peak_freq_90min,80,94.0046373
193,Cardio_peak_freq_90min,81,104.3723087
194,Cardio_peak_freq_90min,82,106.5915866
195,Cardio_peak_freq_90min,83,95.66081484
196,Cardio_peak_freq_90min,84,97.64822789
197,Cardio_peak_freq_90min,85,94.54325215
198,Cardio_peak_freq_90min,86,96.27170761
199,Cardio_peak_freq_90min,87,96.76089311
200,Cardio_peak_freq_90min,88,101.1309503
201,Cardio_peak_freq_90min,89,106.6750527
202,Cardio_peak_freq_90min,90,95.09766239
203,Cardio_peak_freq_90min,91,97.64142702
204,Cardio_peak_freq_90min,92,101.81581
205,Cardio_peak_freq_90min,93,94.83676346
206,Cardio_peak_freq_90min,94,96.10864577
207,Cardio_peak_freq_90min,95,105.2401086
208,Cardio_peak_freq_90min,96,99.98951745
209,Cardio_peak_freq_90min,97,97.70665176
210,Cardio_peak_freq_90min,98,98.52196094
211,Cardio_peak_freq_90min,99,101.3266245
212,Cardio_peak_freq_90min,100,108.6644071
213,Cardio_peak_freq_90min,101,99.43510721
214,Cardio_peak_freq_90min,102,104.0986757
215,Cardio_peak_freq_90min,103,101.2613998
216,Cardio_peak_freq_90min,104,97.57620229
217,Cardio_peak_freq_90min,105,95.9781963
218,Cardio_peak_freq_90min,106,105.2074962
219,Cardio_peak_freq_90min,107,101.1309503
220,Cardio_peak_freq_90min,108,103.6094902
221,Cardio_peak_freq_90min,109,103.1203047
222,Cardio_peak_freq_90min,110,101.5875234
223,Cardio_peak_freq_90min,111,94.57586452
224,Cardio_peak_freq_90min,112,100.0873546
225,HUVEC_total_cell,1,86.4721021
226,HUVEC_total_cell,2,117.3549957
227,HUVEC_total_cell,3,92.45259896
228,HUVEC_total_cell,4,94.4134176
229,HUVEC_total_cell,5,109.2175983
230,HUVEC_total_cell,6,100.4919554
231,HUVEC_total_cell,7,98.92330048
232,HUVEC_total_cell,8,105.0998792
233,HUVEC_total_cell,9,99.80566887
234,HUVEC_total_cell,10,91.17806684
235,HUVEC_total_cell,11,89.70745286
236,HUVEC_total_cell,12,101.3743238
237,HUVEC_total_cell,13,89.02116634
238,HUVEC_total_cell,14,98.43309582
239,HUVEC_total_cell,15,98.62917768
240,HUVEC_total_cell,16,103.0410196
241,HUVEC_total_cell,17,98.04093209
242,HUVEC_total_cell,18,109.707803
243,HUVEC_total_cell,19,102.8449378
244,HUVEC_total_cell,20,96.17815438
245,HUVEC_total_cell,21,94.11929481
246,HUVEC_total_cell,22,91.08002591
247,HUVEC_total_cell,23,103.5312243
248,HUVEC_total_cell,24,100.3939145
249,HUVEC_total_cell,25,88.04075702
250,HUVEC_total_cell,26,93.92321294
251,HUVEC_total_cell,27,89.80549379
252,HUVEC_total_cell,28,94.51145853
253,HUVEC_total_cell,29,102.3547331
254,HUVEC_total_cell,30,115.8843817
255,HUVEC_total_cell,31,102.8449378
256,HUVEC_total_cell,32,86.96230676
257,HUVEC_total_cell,33,88.9231254
258,HUVEC_total_cell,34,108.8254346
259,HUVEC_total_cell,35,99.02134141
260,HUVEC_total_cell,36,94.11929481
261,HUVEC_total_cell,37,104.1194699
262,HUVEC_total_cell,38,94.90362226
263,HUVEC_total_cell,39,97.35464556
264,HUVEC_total_cell,40,88.72704354
265,HUVEC_total_cell,41,97.55072743
266,HUVEC_total_cell,42,99.51154607
267,HUVEC_total_cell,43,86.96230676
268,HUVEC_total_cell,44,97.64876836
269,HUVEC_total_cell,45,109.6097621
270,HUVEC_total_cell,46,93.82517201
271,HUVEC_total_cell,47,94.60949947
272,HUVEC_total_cell,48,90.78590311
273,HUVEC_total_cell,49,97.74680929
274,HUVEC_total_cell,50,98.13897302
275,HUVEC_total_cell,51,108.1391481
276,HUVEC_total_cell,52,84.51128346
277,HUVEC_total_cell,53,96.66835904
278,HUVEC_total_cell,54,88.82508447
279,HUVEC_total_cell,55,93.82517201
280,HUVEC_total_cell,56,91.76631244
281,HUVEC_total_cell,57,101.3743238
282,HUVEC_total_cell,58,106.2763704
283,HUVEC_total_cell,59,120.1001418
284,HUVEC_total_cell,60,94.80558133
285,HUVEC_total_cell,61,131.1787671
286,HUVEC_total_cell,62,118.433446
287,HUVEC_total_cell,63,124.6100247
288,HUVEC_total_cell,64,99.21742327
289,HUVEC_total_cell,65,111.6686216
290,HUVEC_total_cell,66,126.6688843
291,HUVEC_total_cell,67,97.64876836
292,HUVEC_total_cell,68,107.4528616
293,HUVEC_total_cell,69,112.4529491
294,HUVEC_total_cell,70,120.1001418
295,HUVEC_total_cell,71,101.9625694
296,HUVEC_total_cell,72,114.8059315
297,HUVEC_total_cell,73,115.7863408
298,HUVEC_total_cell,74,131.1787671
299,HUVEC_total_cell,75,110.9823351
300,HUVEC_total_cell,76,103.1390606
301,HUVEC_total_cell,77,110.0999667
302,HUVEC_total_cell,78,107.5509025
303,HUVEC_total_cell,79,108.0411072
304,HUVEC_total_cell,80,98.72721861
305,HUVEC_total_cell,81,106.864616
306,HUVEC_total_cell,82,100.0017507
307,HUVEC_total_cell,83,94.7075404
308,HUVEC_total_cell,84,108.4332709
309,HUVEC_total_cell,85,87.35447049
310,HUVEC_total_cell,86,91.27610777
311,HUVEC_total_cell,87,98.13897302
312,HUVEC_total_cell,88,95.78599065
313,HUVEC_total_cell,89,87.35447049
314,HUVEC_total_cell,90,89.2172482
315,HUVEC_total_cell,91,101.9625694
316,HUVEC_total_cell,92,110.8842942
317,HUVEC_total_cell,93,97.84485022
318,HUVEC_total_cell,94,94.31537667
319,HUVEC_total_cell,95,99.31546421
320,HUVEC_total_cell,96,94.4134176
321,HUVEC_total_cell,97,100.0997917
322,HUVEC_total_cell,98,99.9037098
323,HUVEC_total_cell,99,93.82517201
324,HUVEC_total_cell,100,105.394002
325,HUVEC_total_cell,101,110.4921305
326,HUVEC_total_cell,102,98.13897302
327,HUVEC_total_cell,103,110.9823351
328,HUVEC_total_cell,104,77.55037728
329,HUVEC_total_cell,105,114.3157268
330,HUVEC_total_cell,106,83.04066948
331,HUVEC_total_cell,107,85.09952905
332,HUVEC_total_cell,108,81.66809643
333,HUVEC_total_cell,109,101.5704056
334,HUVEC_total_cell,110,81.96221923
335,HUVEC_total_cell,111,83.62891507
336,HUVEC_total_cell,112,88.23683888
337,HUVEC_tube_area,1,100.518788
338,HUVEC_tube_area,2,94.74051298
339,HUVEC_tube_area,3,102.3501474
340,HUVEC_tube_area,4,109.6985411
341,HUVEC_tube_area,5,93.1981414
342,HUVEC_tube_area,6,85.21320706
343,HUVEC_tube_area,7,97.84821781
344,HUVEC_tube_area,8,106.7104697
345,HUVEC_tube_area,9,91.47203103
346,HUVEC_tube_area,10,98.22175796
347,HUVEC_tube_area,11,92.42607291
348,HUVEC_tube_area,12,103.9175015
349,HUVEC_tube_area,13,103.6524858
350,HUVEC_tube_area,14,101.4488465
351,HUVEC_tube_area,15,111.5301616
352,HUVEC_tube_area,16,108.147842
353,HUVEC_tube_area,17,96.21045169
354,HUVEC_tube_area,18,112.0001124
355,HUVEC_tube_area,19,90.14949547
356,HUVEC_tube_area,20,107.4012726
357,HUVEC_tube_area,21,109.9872848
358,HUVEC_tube_area,22,104.248388
359,HUVEC_tube_area,23,88.53696165
360,HUVEC_tube_area,24,100.1558403
361,HUVEC_tube_area,25,89.45289112
362,HUVEC_tube_area,26,99.69169099
363,HUVEC_tube_area,27,96.93052293
364,HUVEC_tube_area,28,104.1403632
365,HUVEC_tube_area,29,88.20776553
366,HUVEC_tube_area,30,115.6348839
367,HUVEC_tube_area,31,87.69797604
368,HUVEC_tube_area,32,103.9678932
369,HUVEC_tube_area,33,102.7849514
370,HUVEC_tube_area,34,111.8739976
371,HUVEC_tube_area,35,97.61705572
372,HUVEC_tube_area,36,108.3390435
373,HUVEC_tube_area,37,83.9577405
374,HUVEC_tube_area,38,84.04096083
375,HUVEC_tube_area,39,108.5951721
376,HUVEC_tube_area,40,102.1262873
377,HUVEC_tube_area,41,104.7831335
378,HUVEC_tube_area,42,97.70705568
379,HUVEC_tube_area,43,120.5845559
380,HUVEC_tube_area,44,116.9839475
381,HUVEC_tube_area,45,95.84695485
382,HUVEC_tube_area,46,106.4564478
383,HUVEC_tube_area,47,114.6821793
384,HUVEC_tube_area,48,110.1177748
385,HUVEC_tube_area,49,84.05359812
386,HUVEC_tube_area,50,83.63164576
387,HUVEC_tube_area,51,112.2204381
388,HUVEC_tube_area,52,109.0676736
389,HUVEC_tube_area,53,81.97158566
390,HUVEC_tube_area,54,86.50085111
391,HUVEC_tube_area,55,83.60020851
392,HUVEC_tube_area,56,96.94822216
393,HUVEC_tube_area,57,113.2440425
394,HUVEC_tube_area,58,105.7830454
395,HUVEC_tube_area,59,110.7234427
396,HUVEC_tube_area,60,109.0248329
397,HUVEC_tube_area,61,116.5459023
398,HUVEC_tube_area,62,106.9997338
399,HUVEC_tube_area,63,96.89425207
400,HUVEC_tube_area,64,92.30104491
401,HUVEC_tube_area,65,95.18444452
402,HUVEC_tube_area,66,100.7347165
403,HUVEC_tube_area,67,87.70647143
404,HUVEC_tube_area,68,96.95941559
405,HUVEC_tube_area,69,108.9545781
406,HUVEC_tube_area,70,116.7427439
407,HUVEC_tube_area,71,80.48338179
408,HUVEC_tube_area,72,95.03986655
409,HUVEC_tube_area,73,111.7510981
410,HUVEC_tube_area,74,112.2493086
411,HUVEC_tube_area,75,101.2950372
412,HUVEC_tube_area,76,82.46300308
413,HUVEC_tube_area,77,103.1796344
414,HUVEC_tube_area,78,121.0586798
415,HUVEC_tube_area,79,74.69214148
416,HUVEC_tube_area,80,85.53238243
417,HUVEC_tube_area,81,113.5722264
418,HUVEC_tube_area,82,106.2028566
419,HUVEC_tube_area,83,75.09227461
420,HUVEC_tube_area,84,79.58944249
421,HUVEC_tube_area,85,110.9654055
422,HUVEC_tube_area,86,91.77685423
423,HUVEC_tube_area,87,123.1367481
424,HUVEC_tube_area,88,117.2732889
425,HUVEC_tube_area,89,85.38920506
426,HUVEC_tube_area,90,107.3966579
427,HUVEC_tube_area,91,111.5680854
428,HUVEC_tube_area,92,87.04326762
429,HUVEC_tube_area,93,89.93298467
430,HUVEC_tube_area,94,84.22051926
431,HUVEC_tube_area,95,123.7325977
432,HUVEC_tube_area,96,77.78808518
433,HUVEC_tube_area,97,121.0868593
434,HUVEC_tube_area,98,83.2250158
435,HUVEC_tube_area,99,112.7585185
436,HUVEC_tube_area,100,75.55607346
437,HUVEC_tube_area,101,127.5333711
438,HUVEC_tube_area,102,87.70097294
439,HUVEC_tube_area,103,86.79332213
440,HUVEC_tube_area,104,97.64798778
441,HUVEC_tube_area,105,102.8554396
442,HUVEC_tube_area,106,89.45271138
443,HUVEC_tube_area,107,94.43113041
444,HUVEC_tube_area,108,97.75119882
445,HUVEC_tube_area,109,94.87172708
446,HUVEC_tube_area,110,120.6321897
447,HUVEC_tube_area,111,97.6138655
448,HUVEC_tube_area,112,99.865917
449,Cardio_Total_Cell_24h,1,107.5899814
450,Cardio_Total_Cell_24h,2,102.6414807
451,Cardio_Total_Cell_24h,3,99.28927065
452,Cardio_Total_Cell_24h,4,95.35175402
453,Cardio_Total_Cell_24h,5,101.0451902
454,Cardio_Total_Cell_24h,6,99.98099654
455,Cardio_Total_Cell_24h,7,96.84162518
456,Cardio_Total_Cell_24h,8,102.3754323
457,Cardio_Total_Cell_24h,9,90.45646308
458,Cardio_Total_Cell_24h,10,94.71323781
459,Cardio_Total_Cell_24h,11,108.2817073
460,Cardio_Total_Cell_24h,12,99.02322223
461,Cardio_Total_Cell_24h,13,104.45061
462,Cardio_Total_Cell_24h,14,97.05446391
463,Cardio_Total_Cell_24h,15,103.9717229
464,Cardio_Total_Cell_24h,16,104.5570294
465,Cardio_Total_Cell_24h,17,105.4083843
466,Cardio_Total_Cell_24h,18,92.79768918
467,Cardio_Total_Cell_24h,19,98.65075444
468,Cardio_Total_Cell_24h,20,99.92778686
469,Cardio_Total_Cell_24h,21,96.73520581
470,Cardio_Total_Cell_24h,22,98.17186728
471,Cardio_Total_Cell_24h,23,100.3002546
472,Cardio_Total_Cell_24h,24,96.78841549
473,Cardio_Total_Cell_24h,25,100.5130934
474,Cardio_Total_Cell_24h,26,101.3644483
475,Cardio_Total_Cell_24h,27,101.9497549
476,Cardio_Total_Cell_24h,28,99.7681578
477,Cardio_Total_Cell_24h,29,104.2733748
478,Cardio_Total_Cell_24h,30,98.54523413
479,Cardio_Total_Cell_24h,31,97.53750568
