,dose_1000x,dose_100x,dose_10x,dose_1x
202/Paraffinwax,90.32642239,120.7217152,89.22385693,136.8482747
192/BITUMENS,98.73487328,111.5223232,89.88157563,73.97664919
153/OLBO,115.6171463,136.2069073,97.7902294,162.3041886
113/OLBO,94.9800353,130.8192489,88.83695954,131.022353
106/CGO,110.5513756,124.423103,2.769027846,54.48910828
097/HFO,99.85246244,116.2309716,50.66686461,46.38042305
Hexadecane,108.486301,107.6591185,100.9621056,112.747429
173/OGO,97.13848926,104.3137168,99.61203698,89.35674306
Biphenyl,92.5017925,89.07571091,79.62643235,105.1834196
007/HFO,80.17697152,91.95909249,93.34430994,101.5007936
102/CGO,103.6630896,98.25938078,86.09542053,9.784077221
066/OLBO,92.01139476,107.86562,105.1307462,123.8208917
170/SRGO,91.80619858,93.26131557,115.296636,18.82813282
012/CGO,111.3037578,93.15991225,86.27766769,12.40763843
123/kerosine,92.90637773,83.67202547,113.5796915,40.16338289
177/VHGO,103.7534491,95.04250786,109.6459052,18.47624858
058/HFO,95.5552408,71.87342804,99.23362756,28.81395612
131/HFO,89.26965754,67.05443385,105.6313381,102.8110816
046/gasoline,88.81308073,111.4283165,63.94930613,153.0208555
109/FO,92.24207867,104.0011813,70.3035769,153.2046861
160/FO,94.85611038,131.5182997,56.79510875,155.2763221
064/UATO,93.91544248,119.6096615,63.14428827,101.0520908
062/P&H wax,96.12690413,124.2107439,67.56712914,164.6278998
072/OLBO,110.7366357,118.9753569,93.84455841,153.6713085
086/kerosine,88.50818718,116.5237782,84.85090199,155.1061424
073/OLBO,96.33235008,124.7821878,84.06692469,103.8023257
138/OLBO,93.45987608,113.1580376,89.04601405,108.2855448
183/VHGOa,97.94538911,112.8233124,105.8295384,2.519488306
018/HFO,82.86444653,91.67306551,80.48609153,80.37922987
"1,3,5-Trimethylbenzene",98.74168515,92.2275465,86.30481852,88.31388858
025/HFO,104.2408155,94.21339632,106.1220834,73.66656522
134/HFO,101.0349233,80.76891502,7.231578091,23.69308591
p-Cymene,92.83217378,101.8892705,95.00049518,99.89023524
056/gasoline,98.1349407,98.51982817,97.54824583,99.08238995
