,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
107,down,2.431411579,2.690000439,2.86326226,2.490661903,2.759411018,2.941826179,2.70242611,3.638677913,4.899292864,0.385858481
108,down,5.623344271,9.739867247,13.73073432,6.406341877,11.19933937,15.9617134,8.579402808,42.03465461,205.948156,0.749994673
109,down,38.30800036,100,100,100,100,100,1.78E-14,0.004071898,929507738.5,1.583289483
110,down,6.14937489,9.63288115,12.65291193,6.847262026,10.77281989,14.21820988,12.22484772,47.09981548,181.4658693,0.78883097
111,down,9.616076735,100,100,16.44657096,100,100,0.787447371,289.1278897,106159.3951,0.98299792
112,down,50.28377801,100,100,100,100,100,0.006301606,16422.31575,42797413550,1.7014279
113,down,6.842549526,10.36222614,13.36555271,7.555541719,11.49886353,14.9161825,11.28732573,38.54977073,131.6596029,0.835217949
114,down,100,100,100,100,100,100,6.67E-18,0.000182374,4988193057,2
115,down,11.34510493,15.76131235,19.25997041,12.27409516,17.11004919,20.99157094,17.63358279,46.79931119,124.2047945,1.054808517
116,down,9.608671788,14.35008848,18.26793033,10.58415921,15.84562,20.24925674,17.57151256,56.96620952,184.6823952,0.982663359
117,down,5.868414806,14.46423327,28.43438365,7.185626726,18.7345309,40.58824176,3.355454463,30.29507099,273.5222117,0.768520804
118,down,18.03001405,25.26855915,31.31044809,19.52614354,27.55802007,34.44370157,21.28116189,55.33060193,143.8584757,1.255996065
119,down,12.57505763,17.47120919,21.36539087,13.6035469,18.97055679,23.29917975,18.979767,50.25672197,133.0752955,1.099509984
120,down,24.67696301,100,100,71.13630502,100,100,0.001303018,2016.744209,3121411802,1.39229171
121,down,100,100,100,100,100,100,1.13E-25,0.001560459,2.14632E+19,2
122,down,100,100,100,100,100,100,1.19E-37,436493063.3,1.60E+54,2
123,down,13.33735507,100,100,25.76958892,100,100,0.430833335,936.0484655,2033702.267,1.125069713
124,down,3.567950368,6.682359639,9.847376523,4.143043651,7.827939612,11.65112309,6.844418749,43.40474771,275.2567008,0.552418805
125,down,2.23343273,2.710540233,3.456362906,2.322653296,2.913700594,100,1.812962909,2.584648266,3.684800515,0.348972876
126,down,0.030344642,100,100,100,100,100,0.002209083,0.005969611,0.016131694,-1.517917984
127,down,100,100,100,100,100,100,3.45E-74,1.91E-10,1.06E+54,2
128,down,100,100,100,100,100,100,2.70E-33,2.87E-06,3.06E+21,2
129,down,0.590912165,100,100,1.463772884,100,100,2.05E-08,0.002168637,229.3241172,-0.228477069
130,down,6.684328688,10.21950725,13.19660973,7.404951637,11.3503664,14.71957456,12.23958723,42.13185922,145.0288746,0.825057797
131,down,4.593940268,7.136863655,9.35130238,5.103453815,7.970849435,10.50697437,7.868628889,29.08432232,107.5025671,0.662185344
132,down,100,100,100,100,100,100,1.91E-05,0.000664797,0.023115385,2
133,down,8.994390009,12.96668695,16.21246853,9.816784256,14.208621,17.84644701,14.56883228,43.20743742,128.1422294,0.953971715
134,down,1.027452383,1.130588566,1.198814977,1.051263383,1.157987919,1.229584925,1.13693649,1.498998261,1.976359988,0.011761704
135,down,5.326031345,100,100,9.994712982,100,100,0.16337572,359.8637398,792663.1403,0.726403718
136,down,100,100,100,100,100,100,0.002166148,0.005600576,0.014480291,2
