,dose_1000x,dose_100x,dose_10x,dose_1x
202/Paraffinwax,88.29531697,106.4810518,102.4885169,107.6083836
192/BITUMENS,101.5315436,100.974478,88.36990916,95.14786104
153/OLBO,100.5630393,100.9126063,102.1455548,108.9865059
113/OLBO,97.33469129,103.3255994,104.431969,106.6896354
106/CGO,101.692961,102.8306265,16.17638052,39.96554694
097/HFO,97.44230289,108.3372003,84.14004287,68.04478898
Hexadecane,98.73364208,104.191802,108.2045524,94.80333046
173/OGO,99.54072907,107.8422274,56.07430846,8.440999139
Biphenyl,93.24545053,102.2737819,103.0601204,98.70801034
007/HFO,96.3661869,101.778809,112.6058998,93.59747344
102/CGO,102.0696016,95.90100541,26.00796162,17.62848119
066/OLBO,108.5262976,107.0378964,103.5174033,102.9572208
170/SRGO,103.0919118,104.8723898,113.0060223,31.18001723
012/CGO,106.6969004,110.6883217,110.3766459,28.42377261
123/kerosine,100.6706509,106.9141531,109.6335613,21.93511341
177/VHGO,100.0249813,105.9860789,105.6323364,22.16480046
058/HFO,110.8937528,102.4593968,29.03746045,43.64053976
131/HFO,99.70214647,112.0494973,112.6630601,107.0915877
046/gasoline,90.98560695,106.8522815,98.7730938,96.41113982
109/FO,96.3661869,106.9760247,105.7466571,108.2974447
160/FO,100.6168451,106.1098221,94.48606716,99.85644559
064/UATO,97.38849709,108.1515855,97.28692457,34.05110537
062/P&H wax,106.9659294,102.7687548,97.97284883,96.98535745
072/OLBO,95.23626511,110.7501933,102.9457997,93.48262992
086/kerosine,96.5814101,101.4694509,99.97346126,100.5455067
073/OLBO,112.185092,104.8105182,99.00173523,106.1154177
138/OLBO,89.26382136,93.54988399,102.9457997,82.6873385
183/VHGOa,110.6785296,95.52977572,31.03807288,18.71949469
018/HFO,104.0066104,99.92266048,102.0883944,19.29371232
"1,3,5-Trimethylbenzene",106.4816772,104.8723898,97.91568848,92.62130347
025/HFO,103.7375814,106.6047951,107.5186282,12.69020959
134/HFO,96.0971579,103.6349575,16.80514443,28.02182027
p-Cymene,99.59453487,102.3975251,103.8603654,96.12403101
056/gasoline,108.149657,107.9659706,106.4897418,88.94631065
085D/OLBO,101.6391552,104.5011601,97.57272634,90.66896354
139/OLBO,99.11028267,100.0464037,115.2352761,107.3786965
028/HFO,114.7139645,96.58159319,108.8904767,16.30778065
078/HFO,109.9790542,103.2018561,112.6058998,13.49411427
152/slackwax,89.96329676,96.76720804,95.4577932,104.6224519
049/kerosine,101.0472915,103.5730858,101.0023477,127.5337353
011/kerosine,99.97117546,101.0982212,92.77125651,102.1533161
069/TDAE,90.23232576,114.2150039,102.8886394,108.7568188
147/OLBO,106.535483,100.974478,107.5757885,104.105656
Decane,98.84125368,117.5560712,108.947637,114.7286822
117/OLBO,104.0604162,107.3472544,105.5751761,13.09216193
149/OLBO,108.3648802,111.4307811,108.6618353,111.2833764
061/P&Hwax,107.880628,107.2235112,103.3459222,96.52598335
085C/OLBO,111.0013644,108.2134571,98.83025416,92.56388171
168/SRGO,105.6207844,100.4176334,110.548127,20.61441286
Fluorene,109.494802,113.5962877,116.0926814,103.875969
146/gasoline,109.7100252,117.0610982,95.00051036,93.1955211
084/UATO,107.2349584,112.9156999,111.519853,51.10536893
Indene,102.6614654,117.9891725,99.05889558,97.73184037
175/VHGO,102.231019,109.6983759,105.5180157,11.31208728
171/SRGO,106.6430946,106.295437,29.609064,39.96554694
172/SRGO,105.3517554,102.7068832,62.24762682,22.27964399
186/RAE,118.0499241,109.8839907,111.6913341,90.66896354
185/RAE,114.9291877,105.3673627,116.2070021,90.89865059
034/HFO,111.4856166,99.86078886,13.94712667,16.76715475
043/kerosine(DUPLICATE),100.9934857,101.4694509,94.42890681,97.96152742
184/VHGO(DUPLICATE),106.2126482,107.5947409,62.93355109,17.11168533
083/UATO(DUPLICATE),115.5748573,96.64346481,29.15178116,7.809359747
091/HFO(DUPLICATE),103.8989988,94.66357309,84.88312749,15.90582831
076/gasoline(DUPLICATE),96.95805069,110.4408353,94.25742574,65.40338788
020/HFO(DUPLICATE),97.01185649,102.0262954,96.42951924,9.244903819
192/BITUMENS(DUPLICATE),102.2848248,101.0363496,87.22670205,84.63967844
177/VHGO(DUPLICATE),106.1588424,95.15854602,98.31581096,20.5569911
183/VHGOa(DUPLICATE),107.5577932,97.07656613,17.89119118,21.07378697
168/SRGO(DUPLICATE),102.8228828,96.70533643,94.54322752,20.95894344
