,dose_1000x,dose_100x,dose_10x,dose_1x
111/petrolatum,91.74956115,102.6508159,102.8121411,109.5096921
202/Paraffinwax,103.0134582,82.07930296,113.1944217,119.1942227
192/BITUMENS,94.41193681,90.34925792,84.80393765,77.79551501
153/OLBO,102.6038619,90.55600679,108.0492207,115.0437096
113/OLBO,84.37682855,88.9020158,87.56029532,110.6803497
106/CGO,97.17671153,88.07502031,14.05742412,15.00570125
097/HFO,96.86951434,91.27962785,84.25266612,113.4473584
Hexadecane,92.97834991,96.65509857,99.59639048,108.7647282
173/OGO,88.67758923,101.4103227,84.62018048,112.4895477
Biphenyl,107.3142188,108.9566566,104.7415915,102.8050171
007/HFO,106.2902282,93.76061434,83.79327317,84.50019004
102/CGO,107.8262142,97.48209407,40.79409352,0
066/OLBO,102.80866,100.4799527,88.84659557,94.07829723
170/SRGO,111.6149795,109.3701543,103.9146842,21.49752946
012/CGO,92.97834991,100.7900761,97.85069729,36.07753706
123/kerosine,115.8133411,106.1655468,106.5791632,115.0437096
177/VHGO,95.94792276,103.1676881,95.46185398,35.33257317
058/HFO,96.35751902,106.5790445,71.75717801,21.49752946
131/HFO,99.01989468,105.2351768,95.92124692,91.63055872
046/gasoline,108.6454067,95.41460533,92.98113208,91.09844166
109/FO,97.48390872,88.9020158,92.15422477,113.8730521
160/FO,107.7238151,104.8216791,105.2009844,99.82516154
064/UATO,96.9719134,77.84095104,86.27399508,5.853287723
062/P&H wax,101.5798713,99.34283394,107.6817063,99.71873812
072/OLBO,109.4645992,86.62777819,90.86792453,104.827062
086/kerosine,112.8437683,97.37871963,96.74815422,98.33523375
073/OLBO,102.0918666,91.48637673,98.31009024,85.67084759
138/OLBO,109.7717964,88.79864136,96.38063987,92.37552261
183/VHGOa,103.4230544,83.11304733,88.29532404,8.513873052
018/HFO,110.2837917,93.96736321,93.16488925,2.447738502
"1,3,5-Trimethylbenzene",96.56231714,84.25016614,102.5365053,93.75902699
025/HFO,111.4101814,105.8554235,76.81050041,19.68833143
134/HFO,103.2182563,87.35139925,9.095980312,3.937666287
p-Cymene,101.7846694,104.2014325,92.98113208,87.3736222
056/gasoline,113.970158,96.96522189,96.65627564,96.73888255
085D/OLBO,112.1269748,103.5811859,89.30598852,96.3131889
139/OLBO,112.331773,96.65509857,101.2502051,81.41391106
028/HFO,104.344646,92.41674666,100.7908121,3.405549221
078/HFO,113.2533645,87.24802481,95.92124692,3.937666287
152/slackwax,89.59918081,95.51797977,91.87858901,106.5298366
049/kerosine,95.64072557,97.99896626,85.2633306,90.24705435
011/kerosine,99.83908719,106.3722957,99.32075472,100.1444318
069/TDAE,108.7478057,108.7499077,87.37653815,98.7609274
147/OLBO,94.82153306,106.9925423,94.91058244,91.84340555
Decane,106.1878291,81.66580521,91.9704676,89.50209046
117/OLBO,96.05032183,86.110906,82.13945857,0.425693653
149/OLBO,99.32709187,91.38300229,89.12223134,88.75712657
061/P&Hwax,92.87595085,95.62135421,100.3314192,86.84150513
085C/OLBO,97.79110591,84.35354057,91.1435603,89.07639681
168/SRGO,102.80866,90.45263236,75.34044299,6.172557963
Fluorene,97.79110591,102.6508159,96.28876128,90.35347777
146/gasoline,124.9268578,105.752049,87.65217391,80.1368301
084/UATO,104.0374488,83.83666839,93.99179655,0.319270239
Indene,119.0901112,103.9946836,98.49384742,85.35157735
175/VHGO,89.70157987,102.6508159,79.10746514,2.447738502
171/SRGO,106.2902282,102.444067,87.28465956,4.682630179
172/SRGO,94.82153306,94.17411209,83.42575882,2.02204485
186/RAE,96.66471621,87.35139925,84.89581624,76.0927404
185/RAE,103.9350497,88.38514362,83.24200164,84.07449639
034/HFO,99.32709187,91.27962785,32.6168991,52.14747244
043/kerosine(DUPLICATE),86.42480983,104.7183047,107.7735849,112.3831243
184/VHGO(DUPLICATE),88.7799883,83.52654508,80.76127974,0
083/UATO(DUPLICATE),91.64716208,92.83024441,92.06234619,58.32003041
091/HFO(DUPLICATE),87.14160328,79.3915676,77.63740771,22.24249335
076/gasoline(DUPLICATE),98.20070217,89.00539024,81.68006563,104.9334854
020/HFO(DUPLICATE),96.45991808,80.42531197,92.52173913,34.58760927
192/BITUMENS(DUPLICATE),96.25511995,84.04341726,83.609516,88.96997339
177/VHGO(DUPLICATE),95.33352838,94.38086096,84.06890894,14.68643101
183/VHGOa(DUPLICATE),106.3926273,103.0643137,88.93847416,11.70657545
168/SRGO(DUPLICATE),94.51433587,84.9737872,90.31665299,8.194602813
"1,2,4-Trimethylbenzene(DUPLICATE)",98.30310123,95.00110758,107.5898277,90.24705435
Benz(a)anthracene(DUPLICATE),101.5798713,99.65295725,88.01968827,135.6898518
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",102.3990638,107.1992911,105.292863,118.9813759
1-Methylnaphthalene(DUPLICATE),106.4950263,87.76489699,91.51107465,98.33523375
Fluoranthene(DUPLICATE),107.2118198,104.3048069,102.168991,96.3131889
Propylbenzene(DUPLICATE),105.7782329,88.38514362,90.13289582,95.35537818
Anthracene(DUPLICATE),102.6038619,97.99896626,91.1435603,45.54922083
Biphenyl(DUPLICATE),96.15272089,99.75633168,87.83593109,83.3295325
p-Cymene(DUPLICATE),106.2902282,94.27748652,93.99179655,97.69669327
Fluorene(DUPLICATE),98.61029842,106.5790445,89.58162428,96.3131889
