,dose_1000x,dose_100x,dose_10x,dose_1x
007/HFO,84.49018401,101.895976,101.8549188,119.3286511
102/CGO,84.38577847,125.0959307,0,0
066/OLBO,84.17696739,99.80417681,110.6989069,166.4535216
170/SRGO,80.02684714,106.0478805,242.2656509,0
012/CGO,88.97962228,113.4642594,0,0
123/kerosine,92.79042452,101.6741185,157.1381252,0
177/VHGO,90.31079292,103.1003452,189.1685989,0
058/HFO,83.75934523,115.3025072,0,0
131/HFO,81.90614688,92.98998246,90.62603511,94.93460056
046/gasoline,69.42968473,91.08834682,97.9794634,98.78285987
109/FO,75.79842273,91.34189824,96.25703875,111.2081717
160/FO,79.29600835,93.71894278,97.38323948,121.2201684
064/UATO,82.16716073,114.6686287,0,0
062/P&H wax,77.93873632,90.92987719,100.9937065,117.4371338
072/OLBO,77.99093909,94.00418813,102.6167605,149.1363546
086/kerosine,82.84579674,97.33205048,108.2808877,35.41703064
073/OLBO,84.96000895,102.4664667,139.2514078,29.05761906
138/OLBO,81.74953856,100.4063614,107.1878105,135.308711
183/VHGOa,85.63864497,105.0019809,29.77807221,0
018/HFO,84.02035908,105.0970627,0,0
"1,3,5-Trimethylbenzene",84.04646047,86.61950308,96.65452136,107.0990135
025/HFO,79.13940004,101.2620975,160.5498509,0
134/HFO,89.91927214,0,0,0
p-Cymene,88.66640565,91.34189824,98.31069891,106.1206425
056/gasoline,81.25361225,93.56047315,107.2209341,139.1243579
085D/OLBO,88.27488487,92.51457355,105.8959921,101.9788718
139/OLBO,82.48037735,87.85556625,99.33752898,120.3070221
028/HFO,78.74787926,112.8620748,0,0
078/HFO,78.8522848,109.1538853,140.8744617,0
152/slackwax,71.98762049,91.91238893,99.00629347,103.9356139
049/kerosine,42.51915655,95.8424359,108.4465055,230.5694352
011/kerosine,95.42666443,89.50365046,101.8880424,77.32392234
069/TDAE,77.65162108,87.47523912,108.6452468,138.504723
147/OLBO,90.07588046,90.99326504,97.9794634,125.9163493
Decane,77.96483771,94.06757598,96.75389202,102.5985068
117/OLBO,79.50481943,103.5440602,183.9350778,0
149/OLBO,84.88170479,94.44790311,101.0930772,113.6540993
061/P&Hwax,77.28620169,94.47959703,97.41636303,121.2201684
085C/OLBO,78.12144602,94.22604562,98.50944021,109.0231431
168/SRGO,79.60922498,111.8478691,0,0
Fluorene,74.85877286,89.47195653,99.83438225,132.2757609
146/gasoline,79.19160281,111.6260117,111.5269957,0
084/UATO,79.9224416,116.4434886,0,0
Indene,77.67772247,91.56375573,106.8234515,110.6537615
175/VHGO,82.71528982,106.6500651,0,0
171/SRGO,80.26175961,112.9571566,107.7840344,0
172/SRGO,80.70548316,104.8118173,0,0
186/RAE,87.96166825,96.76155979,113.2825439,9.653260654
185/RAE,78.12144602,84.21076462,106.3928453,14.54511572
034/HFO,83.83764938,149.9756636,0,0
043/kerosine(DUPLICATE),77.49501277,96.5397023,131.8648559,193.1630502
184/VHGO(DUPLICATE),98.79374313,120.5636991,17.05862868,0
083/UATO(DUPLICATE),97.51477525,120.7855566,10.93077178,9.848934857
091/HFO(DUPLICATE),88.2226821,118.0915728,0,0
076/gasoline(DUPLICATE),88.77081119,104.4631841,126.3663465,53.22338307
020/HFO(DUPLICATE),91.30264556,105.6992473,0,0
192/BITUMENS(DUPLICATE),90.54570539,107.0620861,126.1344816,0
177/VHGO(DUPLICATE),92.42500513,108.1079857,0,0
183/VHGOa(DUPLICATE),94.14769655,116.253325,0,10.95775534
168/SRGO(DUPLICATE),91.61586218,112.6402173,0,0
"1,2,4-Trimethylbenzene(DUPLICATE)",86.08236851,100.5648311,107.2540576,112.4474417
Benz(a)anthracene(DUPLICATE),95.4788672,97.11019299,133.256045,0
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",88.53589873,98.25117437,110.5332892,108.4035082
1-Methylnaphthalene(DUPLICATE),96.39241568,100.2478918,116.296787,136.8414922
Fluoranthene(DUPLICATE),92.79042452,105.0653687,120.9340841,0
Propylbenzene(DUPLICATE),95.71377967,103.0686513,118.0854588,117.7632575
Anthracene(DUPLICATE),92.9992356,103.5123663,122.5571381,116.0348021
Biphenyl(DUPLICATE),96.52292261,102.339691,114.6074859,118.0241564
p-Cymene(DUPLICATE),95.84428659,101.1987096,121.6959258,106.8055022
Fluorene(DUPLICATE),92.26839682,99.26538004,123.8158331,132.2105361
