,direction,pod.sd1,pod.sd2,pod.sd3,pod.sd.upper1,pod.sd.upper2,pod.sd.upper3,EC10,EC50,EC90,pod_sd1_log
80,down,37.67780976,44.71358188,49.62163532,39.25466502,46.66394841,51.8852941,48.37940977,80.74540441,134.7643629,1.576085649
81,down,0.917151988,1.371522581,1.7555152,1.009963638,1.51698644,1.953771988,1.363448775,4.321140123,13.69486871,-0.037558688
82,down,1.284053024,100,100,3.030307209,100,100,3.18E-50,0.000130509,5.36E+41,0.108582958
83,up,18.36915653,26.88054622,34.71987825,20.05873384,29.76276374,39.11577048,17.99475534,51.38688044,146.7433945,1.264089215
84,down,37.14432522,43.0644545,47.20497441,38.46946281,44.70841462,49.12014266,44.1202155,69.07692038,108.1504448,1.569892473
85,up,100,100,100,100,100,100,1.14E-173,3.63E+26,1.16E+226,2
86,down,2.176545065,5.344504858,8.953541263,2.722030215,6.615315796,11.12616806,7.965796244,84.50574753,896.4855674,0.337767664
87,down,2.607672639,2.907986389,3.110629051,2.676324132,2.988995849,3.203040336,2.897216014,3.979100381,5.464984237,0.41625307
88,up,8.864217867,19.61730465,33.23559562,10.66330402,24.2126722,42.40758843,9.029453296,79.09215175,692.7959273,0.947640422
89,up,33.00823941,59.59113703,92.79015914,37.67940631,70.60570492,100,22.77063258,97.81485803,420.1792119,1.518622361
90,up,2.622359333,8.288658208,17.70839452,3.425866889,11.23473481,25.04900335,3.086474935,80.83718535,2117.188921,0.418692201
91,up,5.811986424,6.914221692,7.774759763,6.049418578,7.244269449,8.212896932,5.726334189,9.251098059,14.94548038,0.764324591
92,down,2.586501125,100,100,6.967482284,100,100,2.89E-47,0.000301547,3.15E+39,0.412712672
93,up,7.57568322,9.78832671,12.09811431,8.010469223,10.58455281,13.71835718,6.054618948,10.97401408,19.89043176,0.879421806
94,up,100,100,100,100,100,100,4.38E-41,89190258.45,1.81E+56,2
95,down,2.419562644,2.734137212,2.949792859,2.490865711,2.820056731,3.048907388,2.719283458,3.896597479,5.583629715,0.383736871
96,down,3.072665028,3.415782454,3.648933397,3.150717437,3.508887033,3.755480832,3.397211084,4.652957089,6.372877379,0.487515217
97,down,4.496267529,5.356642502,5.977566937,4.686213664,5.601162805,6.270750906,5.294806192,8.94823217,15.12252877,0.652852144
98,down,2.902624151,3.225300411,3.443334348,2.976288539,3.312455528,3.542763784,3.21089045,4.376226473,5.964500639,0.462790804
99,up,6.021036274,9.315920958,100,6.523941575,11.57416763,100,3.682275932,7.171491923,13.966986,0.779671244
100,down,100,100,100,100,100,100,2.71E-42,2.18E-08,1.75E+26,2
