,dose_1000x,dose_100x,dose_10x,dose_1x
202/Paraffinwax,99.70762793,78.8249094,125.3943521,113.6294403
192/BITUMENS,92.74672176,88.23683888,101.1782419,98.82525955
153/OLBO,99.609587,86.7662249,119.2177734,110.3940895
113/OLBO,81.86417829,85.98189744,95.88403158,103.923388
106/CGO,94.90362226,84.80540626,73.9228628,66.27567009
097/HFO,94.90362226,90.68786218,102.8449378,157.0615732
Hexadecane,90.19765752,93.92321294,111.9627444,104.0214289
173/OGO,86.37406117,98.13897302,93.13888548,110.4921305
Biphenyl,105.1979201,106.9626569,114.5118087,99.31546421
007/HFO,102.8449378,90.98198498,93.43300828,97.1585637
102/CGO,104.8057564,95.88403158,55.68724943,0
066/OLBO,99.41350514,97.35464556,97.84485022,93.62909015
170/SRGO,108.237189,105.9822476,115.9824227,38.03988165
012/CGO,90.78590311,97.64876836,108.237189,83.04066948
123/kerosine,113.5313994,105.1979201,119.6099371,109.5117211
177/VHGO,92.35455803,100.0997917,105.4920429,55.2950857
058/HFO,93.13888548,104.6096745,98.33505489,20.88271853
131/HFO,96.47227718,102.2566922,105.6881248,96.37423624
046/gasoline,104.8057564,91.57023057,101.7664875,85.58973371
109/FO,95.09970413,85.58973371,100.5899963,108.6293528
160/FO,104.7077155,100.3939145,114.5118087,94.7075404
064/UATO,94.80558133,74.90327212,105.2959611,117.2569548
062/P&H wax,99.21742327,95.39382692,118.335405,95.19774506
072/OLBO,106.864616,83.726956,99.31546421,101.7664875
086/kerosine,111.6686216,94.51145853,105.7861657,93.92321294
073/OLBO,99.609587,87.45251142,107.8450253,83.13871041
138/OLBO,107.7469844,87.0603477,107.3548206,93.23692642
183/VHGOa,100.7860782,80.49160525,97.74680929,37.15751326
018/HFO,109.0215165,91.6682715,106.9626569,20.09839108
"1,3,5-Trimethylbenzene",93.33496735,80.98180991,115.5902589,88.53096168
025/HFO,108.0411072,103.2371015,86.17797931,40.58894588
134/HFO,100.7860782,84.51128346,34.90257182,72.06008509
p-Cymene,99.02134141,101.080201,102.3547331,83.04066948
056/gasoline,111.2764579,92.94280362,106.2763704,93.43300828
085D/OLBO,108.9234756,100.6880373,96.66835904,90.09961659
139/OLBO,109.9038849,92.94280362,111.6686216,76.76604983
028/HFO,102.0606103,90.68786218,116.3745864,48.53026138
078/HFO,111.5705807,83.82499694,114.3157268,18.0395315
152/slackwax,87.74663422,91.86435337,99.02134141,100.0017507
049/kerosine,92.94280362,94.80558133,93.13888548,86.07993837
011/kerosine,97.1585637,102.9429787,108.6293528,95.49186785
069/TDAE,105.7861657,105.0998792,97.06052277,97.1585637
147/OLBO,91.86435337,104.5116336,105.394002,86.66818397
Decane,102.6488559,78.92295033,98.62917768,83.82499694
117/OLBO,93.72713108,83.82499694,93.72713108,60.09909137
149/OLBO,96.8644409,87.64859329,97.06052277,82.94262855
061/P&Hwax,91.08002591,92.74672176,108.4332709,81.2759327
085C/OLBO,94.51145853,81.86417829,99.9037098,84.60932439
168/SRGO,101.8645284,87.84467515,82.06026016,23.03961904
Fluorene,95.19774506,98.72721861,105.1979201,84.3152016
146/gasoline,122.5511651,103.4331834,95.39382692,74.90327212
084/UATO,101.3743238,82.15830109,110.0999667,103.7273062
Indene,116.4726273,100.4919554,108.0411072,81.07985084
175/VHGO,86.37406117,98.23701395,89.80549379,30.29464802
171/SRGO,103.7273062,99.51154607,95.68794972,13.72573049
172/SRGO,91.6682715,90.29569845,90.68786218,75.39347678
186/RAE,94.11929481,83.53087414,96.08011345,89.511371
185/RAE,100.6880373,85.78581558,90.98198498,82.45242389
034/HFO,97.84485022,93.53104921,40.19678216,48.04005672
043/kerosine(DUPLICATE),84.11911973,100.9821601,119.3158144,106.9626569
184/VHGO(DUPLICATE),86.17797931,80.19748245,91.86435337,0
083/UATO(DUPLICATE),89.11920727,90.00157566,100.6880373,93.72713108
091/HFO(DUPLICATE),85.19756999,77.45233635,98.04093209,20.49055481
076/gasoline(DUPLICATE),95.58990879,87.74663422,89.90353473,103.5312243
020/HFO(DUPLICATE),95.09970413,78.33470474,108.6293528,40.00070029
192/BITUMENS(DUPLICATE),94.31537667,82.45242389,98.23701395,99.41350514
177/VHGO(DUPLICATE),93.13888548,90.68786218,92.35455803,24.70631489
183/VHGOa(DUPLICATE),104.0214289,100.0997917,100.3939145,37.45163606
168/SRGO(DUPLICATE),92.2565171,82.25634202,99.51154607,37.25555419
"1,2,4-Trimethylbenzene(DUPLICATE)",96.37423624,91.27610777,119.1197325,85.39365185
Benz(a)anthracene(DUPLICATE),98.82525955,96.27619531,95.19774506,149.1202577
"1,2,4,5-Tetramethylbenzene(DUPLICATE)",100.1978326,105.4920429,116.962832,113.8255222
1-Methylnaphthalene(DUPLICATE),103.7273062,83.82499694,99.31546421,96.08011345
Fluoranthene(DUPLICATE),103.923388,101.9625694,113.0411947,90.49178032
Propylbenzene(DUPLICATE),103.2371015,85.00148812,97.94289116,91.57023057
Anthracene(DUPLICATE),100.6880373,94.7075404,100.9821601,67.25607941
Biphenyl(DUPLICATE),93.82517201,95.88403158,96.57031811,79.41315499
p-Cymene(DUPLICATE),104.1194699,90.98198498,103.8253471,91.57023057
Fluorene(DUPLICATE),95.58990879,103.3351424,99.41350514,90.68786218
